Judul Berita,Label
"
Prabowo-Gibran Jadi Presiden dan Wapres Terpilih, Pengusaha Ingatkan PR Ini
",Netral
"
Bakal Dibangun Pabrik Biomassa di Blora, Puluhan Ribu Petani Dilibatkan
",Positif
"
BRI Sukses Cetak Laba Rp 15,98 T di Triwulan I 2024, Ini Pemicunya
",Positif
"
Wisma Atlet Kemayoran Direnovasi, Pagar Rusak hingga Ditumbuhi Semak Belukar
",Negatif
"
Prabowo-Gibran Presiden & Wapres Terpilih, Erick: Kemenangan Seluruh Rakyat
",Positif
"
Lembaga di New York Jajaki Kerja Sama Kembangkan AI dan IoT di IKN
",Netral
"
Kehabisan Tiket Kereta Antar-Kota? Coba Pakai Cara Ini
",Netral
"
UMKM Sumbang 61 Persen PDB
",Positif
"
RI Dapat Dukungan dari AS soal Protes UU Anti-Deforestasi Uni Eropa
",Netral
"
Harga Emas Turun Lagi!
",Negatif
"
AS Kasih 2 Pilihan ke TikTok, Divestasi atau Dilarang!
",Negatif
"
Kamis Pagi Dolar AS Menguat 0,19% ke Rp 16.180
",Netral
"
IHSG Dibuka di Zona Merah
",Negatif
"
Rp 180 T Menguap Gara-gara 1 Juta Orang RI Berobat ke Luar Negeri
",Negatif
"
Progres Terkini Pembangunan Tugu Nol Kilometer di Kalsel
",Netral
"
Jokowi Ungkap Fakta Alkes-Bahan Baku Obat di RI Masih Impor
",Negatif
"
Boeing Kena 'Pukulan' Telak, Pendapatan Turun-Peringkat Utang Anjlok
",Negatif
"
Geliat Industri Penerbangan Maroko
",Positif
"
Bos BI Bilang Rupiah Bisa Menguat ke Rp 15.800/US$, Kapan?
",Positif
"
Investasi Pabrik Biomassa di Kabupaten Blora
",Netral
"
Luhut Bentuk Tim Khusus Kereta Cepat ke Surabaya, Prabowo Lanjutkan Proyeknya
",Netral
"
Proyek MRT Sampai ke Tangsel Masih Angan-angan
",Negatif
"
Harga Bawang Merah Tembus Rp 80.000/Kg, Mendag Buka-bukaan Biang Keroknya
",Negatif
